HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal,Result
0.6,0.2,0.2,2,0.2,0.6,0.2,0.6,H
0,0.2,0.8,1,0,0.6,0.4,0.8,H
0,0.8,0.2,0.4,0.2,0.2,0.6,0.8,H
0.8,0,0.2,2.2,0.2,0.6,0.2,1,H
0.2,0.8,0,1,0,1,0,0.4,H
0,0.2,0.8,0.6,0.4,0.4,0.2,0.8,H
0.6,0.2,0.2,1.8,0.2,0.6,0.2,0.6,D
0.6,0.2,0.2,1.8,0.4,0,0.6,1.6,D
0,0.6,0.4,0.8,0.8,0,0.2,1.6,H
0.4,0.2,0.4,1,0.4,0.4,0.2,1.4,D
0.2,0.2,0.6,1,0,0.4,0.6,1.2,D
0.6,0,0.4,1.2,0,0.8,0.2,0.4,H
0.6,0.2,0.2,1,0.6,0.2,0.2,2,H
0,0.6,0.4,0.8,0.4,0.2,0.4,1,H
0.6,0.2,0.2,2.2,0.6,0.2,0.2,1.2,A
0.4,0.4,0.2,1.6,0.4,0.2,0.4,1.2,A
0.6,0,0.4,1.8,0.6,0.4,0,1.6,H
0.4,0.2,0.4,2,0.2,0.6,0.2,1,D
0.2,0.6,0.2,1.2,0.2,0.6,0.2,0.6,A
0.4,0.4,0.2,1.2,0.6,0,0.4,1.2,D
0.8,0,0.2,2,0,0.8,0.2,0.4,H
0.2,0.6,0.2,0.4,0,1,0,0.2,A
0.4,0.6,0,0.8,0.2,0.6,0.2,0.4,H
0.4,0.4,0.2,1,0.8,0,0.2,1.6,D
0.8,0,0.2,2,0,0.4,0.6,0.4,H
0.2,0,0.8,1,0.4,0.4,0.2,1.6,D
0.2,0.8,0,0.4,0.2,0.8,0,0.8,A
0.4,0.6,0,1.2,0.2,0.4,0.4,1.8,D
0.2,0,0.8,0.6,0.2,0.2,0.6,1,A
0.4,0.2,0.4,1.2,0,0.8,0.2,0.8,H
0.6,0,0.4,1.6,0.2,0.4,0.4,1,H
0.8,0.2,0,2,0.2,0,0.8,1,D
0.6,0,0.4,2,0.6,0.2,0.2,1.2,A
0.4,0.2,0.4,1.2,0.4,0.2,0.4,1,D
0.6,0,0.4,1.4,0.8,0.2,0,2,H
0.6,0.2,0.2,1,0.4,0,0.6,0.8,D
0.2,0.6,0.2,1.2,0.4,0.4,0.2,1.4,A
0.4,0.4,0.2,2.2,0.2,0.4,0.4,1,D
0.4,0.4,0.2,1.6,0.4,0.6,0,1,A
0.2,0.4,0.4,0.8,0.4,0.4,0.2,1.4,H
0.4,0,0.6,1.8,0.4,0.2,0.4,1.4,H
0.2,0.6,0.2,1.4,0,0.2,0.8,0.8,H
0.2,0.4,0.4,0.8,0,0.8,0.2,0.6,D
0,0.2,0.8,0.6,0.4,0.4,0.2,1.4,D
0.6,0,0.4,1.6,0,1,0,0.2,A
0.2,0,0.8,1.2,0.4,0.6,0,1,A
0.2,0.6,0.2,0.4,0,0.6,0.4,0.8,A
0,0.2,0.8,0.8,0,0.4,0.6,0.2,A
0.6,0.4,0,1,0,0.6,0.4,0.4,H
0.6,0,0.4,1.4,0.2,0.8,0,0.4,H
0.4,0.2,0.4,1.2,0.4,0.2,0.4,1,A
0.6,0.2,0.2,1.8,0.2,0.2,0.6,1,A
0.2,0.8,0,0.4,0.6,0,0.4,1.4,H
0.4,0.2,0.4,1.2,0.2,0.2,0.6,1.6,H
0.2,0.6,0.2,1.6,0.4,0.4,0.2,1.8,A
0.6,0,0.4,1.6,0.6,0.2,0.2,1.4,D
0.2,0.2,0.6,1,0.4,0.6,0,0.8,H
0.2,0.4,0.4,0.8,0,0.8,0.2,0.4,D
0.6,0,0.4,1.4,0.4,0.2,0.4,1.4,D
0.2,0.6,0.2,1,0.2,0.4,0.4,1,D
1,0,0,2.4,0.2,0,0.8,1.2,D
0.2,0.4,0.4,1.6,0.4,0.2,0.4,1.4,D
0.2,0.6,0.2,0.8,0,0.4,0.6,0.6,A
0.6,0.2,0.2,1.8,0,0.8,0.2,0.8,H
0.8,0,0.2,1.6,0.6,0.4,0,1.8,D
0.4,0.4,0.2,1.2,0.4,0.4,0.2,1.8,A
0.2,0.2,0.6,0.6,0.2,0.6,0.2,1.2,H
0.6,0,0.4,1.6,0.4,0,0.6,1.2,D
0.2,0.2,0.6,0.8,0,0.8,0.2,0.4,D
0.4,0,0.6,1.4,0.4,0,0.6,1.8,H
0.2,0.6,0.2,0.6,0,0.8,0.2,0.2,D
0.8,0,0.2,2.4,0.2,0.4,0.4,0.6,H
0.2,0.2,0.6,2,0.6,0.2,0.2,2,A
0.2,0.8,0,0.8,0.2,0.8,0,0.4,H
0.6,0,0.4,1,0.2,0,0.8,0.8,H
0.4,0.4,0.2,1,0.2,0.2,0.6,1.4,H
0.4,0.2,0.4,0.6,0.4,0.4,0.2,1.4,D
